EmployeeID,hrs,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Name
724,5.802433065595555,High,Excellent,Very High,High,Good,35,Yes,Travel_Frequently,Research & Development,1,College,Medical,1,Male,1,Manufacturing Director,Married,67960,0.0,Y,13,8,0,5.0,2,4,3,2,Darryl Gardner
725,7.403495091476945,Medium,Excellent,Very High,High,Better,38,No,Travel_Frequently,Research & Development,7,Bachelor,Medical,1,Female,2,Sales Representative,Divorced,76250,1.0,Y,15,8,0,4.0,2,4,0,3,Alejandra Baker
726,6.317324854975277,High,Outstanding,High,Very High,Best,34,No,Travel_Rarely,Research & Development,10,Master,Other,1,Female,2,Laboratory Technician,Single,74120,1.0,Y,24,8,0,14.0,4,14,4,11,Amy Mills
727,10.457970771976669,High,Excellent,High,Low,Better,28,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Female,2,Healthcare Representative,Married,111590,1.0,Y,12,8,0,5.0,2,5,0,4,Michelle Campbell
728,10.169853859883888,Medium,Excellent,Very High,High,Good,31,Yes,Travel_Rarely,Research & Development,15,College,Life Sciences,1,Male,2,Sales Executive,Married,49600,1.0,Y,15,8,0,10.0,3,10,6,7,William Vazquez
729,6.540616912092778,High,Excellent,Low,Very High,Best,39,No,Travel_Rarely,Research & Development,17,Master,Technical Degree,1,Female,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,5,1,4,Cassandra Hayes
730,10.208935742971669,Medium,Excellent,Medium,Medium,Better,51,No,Travel_Frequently,Research & Development,20,Bachelor,Medical,1,Male,2,Sales Executive,Married,148140,2.0,Y,11,8,1,14.0,2,4,3,2,Robert Walton PhD
731,9.93777108433722,High,Excellent,Very High,Very High,Good,41,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,1,Male,4,Sales Executive,Divorced,191410,3.0,Y,12,8,1,12.0,2,6,3,3,Stephen Peters
732,7.498370147255556,Very High,Excellent,High,High,Better,37,No,Travel_Rarely,Research & Development,2,College,Medical,1,Female,1,Healthcare Representative,Married,54050,7.0,Y,15,8,0,8.0,3,6,1,3,Autumn Holden
733,9.695691655510831,High,Excellent,Medium,Very High,Best,33,No,Travel_Frequently,Research & Development,2,Bachelor,Medical,1,Female,1,Sales Executive,Married,87930,6.0,Y,17,8,0,8.0,2,5,1,2,Heather Jackson
734,6.348000892458611,High,Excellent,High,Medium,Good,32,No,Travel_Rarely,Research & Development,1,Master,Medical,1,Male,5,Research Director,Married,191890,0.0,Y,12,8,1,4.0,3,3,1,2,Jamie Hughes
735,6.993895582329166,High,Excellent,High,High,Better,39,No,Non-Travel,Research & Development,29,College,Life Sciences,1,Male,2,Sales Executive,Married,38750,3.0,Y,15,8,0,13.0,3,6,0,5,Thomas Hebert
736,8.666758143685833,Medium,Excellent,Low,High,,25,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,1,Male,1,Sales Executive,Married,22160,2.0,Y,13,8,3,6.0,2,3,1,2,Steven Sanchez
737,9.29122043730472,High,Excellent,Very High,High,Good,52,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,1,Male,2,Sales Executive,Married,117130,2.0,Y,14,8,0,24.0,2,5,0,2,Mark Smith
738,9.5781381079875,High,Excellent,Low,High,Bad,43,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,1,Laboratory Technician,Single,78610,1.0,Y,14,8,2,20.0,1,20,1,8,Matthew Clark
739,9.676504908522778,High,Excellent,Very High,Very High,Better,27,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,1,Male,1,Human Resources,Married,37080,1.0,Y,16,8,2,6.0,2,6,4,4,Johnny Mendez
740,5.689960954930833,Very High,Excellent,Very High,High,Better,27,Yes,Travel_Rarely,Research & Development,2,Doctor,Life Sciences,1,Female,1,Research Scientist,Single,137700,1.0,Y,18,8,1,8.0,3,8,7,7,Jamie Young
741,5.782473226238055,High,Outstanding,Low,Very High,Better,26,No,Travel_Rarely,Research & Development,2,College,Other,1,Male,3,Laboratory Technician,Single,53040,0.0,Y,20,8,1,5.0,2,4,1,1,Andrew Garcia
742,6.114008255243055,High,Excellent,High,Low,Better,42,No,Travel_Rarely,Sales,23,Bachelor,Marketing,1,Female,3,Research Scientist,Married,26420,0.0,Y,13,8,1,21.0,3,20,0,9,Crystal Wilson
743,6.948222891566111,High,Excellent,High,Low,Bad,52,No,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Female,1,Healthcare Representative,Married,27590,9.0,Y,18,8,1,12.0,6,5,0,4,Jennifer Thompson
744,7.099554886211389,High,Excellent,Low,High,Better,37,No,Travel_Rarely,Research & Development,20,Doctor,Life Sciences,1,Male,2,Manager,Single,68040,4.0,Y,13,8,1,8.0,1,3,0,2,Benjamin Andrews
745,7.3002744310575,High,Excellent,High,Very High,Better,35,No,Travel_Frequently,Research & Development,6,Master,Medical,1,Female,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,2,2,Jessica Grimes
746,6.259219098616667,Low,Excellent,Low,Very High,Good,25,No,Travel_Rarely,Research & Development,1,Master,Medical,1,Male,2,Sales Executive,Married,25000,4.0,Y,14,8,2,7.0,2,3,0,2,James Mendez
747,6.018154841588333,Medium,Outstanding,High,Low,Better,26,No,Travel_Rarely,Research & Development,29,Master,Life Sciences,1,Male,1,Research Scientist,Single,63890,0.0,Y,22,8,0,8.0,2,7,0,7,Joseph Leblanc
748,6.770160642570278,Medium,Excellent,Medium,Low,Good,29,No,Travel_Rarely,Sales,9,Bachelor,Life Sciences,1,Male,1,Laboratory Technician,Single,111030,1.0,Y,12,8,0,10.0,5,10,0,9,Charles Herman
749,7.89505243195,High,Excellent,Low,Low,Better,49,Yes,Travel_Frequently,Sales,6,Doctor,Medical,1,Female,2,Healthcare Representative,Single,23420,3.0,Y,18,8,0,20.0,2,4,1,3,Erica Ruiz
750,5.725187416331944,High,Excellent,High,Very High,Better,29,Yes,Travel_Frequently,Sales,3,College,Marketing,1,Female,2,Laboratory Technician,Single,68110,0.0,Y,15,8,1,9.0,2,8,7,7,Angela Harrison
751,10.48453926818361,Medium,Excellent,Very High,Very High,Good,54,No,Travel_Rarely,Sales,1,Bachelor,Medical,1,Female,2,Manager,Single,22970,6.0,Y,18,8,2,29.0,2,20,12,7,Kathryn Hall
752,7.002454261490278,High,Excellent,Very High,Low,Better,58,No,Travel_Rarely,Sales,22,Bachelor,Life Sciences,1,Female,2,Laboratory Technician,Married,24500,3.0,Y,12,8,1,32.0,2,9,1,5,Emily West
753,8.835515394912777,High,Excellent,Medium,Very High,Best,55,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Female,3,Research Scientist,Divorced,50930,2.0,Y,16,8,1,31.0,3,7,0,0,Heather Yu
754,7.039492414100834,High,Excellent,Low,Medium,Better,36,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Male,2,Sales Executive,Single,53090,3.0,Y,13,8,0,15.0,5,5,0,1,Paul Wilkins Jr.
755,7.417694109772222,High,Excellent,Medium,High,Better,31,Yes,Travel_Frequently,Sales,4,Bachelor,Life Sciences,1,Male,2,Manager,Single,30570,1.0,Y,19,8,0,1.0,3,1,0,0,George Johnson
756,6.910756358768333,High,Excellent,Very High,Low,Better,30,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,1,Male,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,3,0,2,Nicholas Jones
757,6.9619265952697225,High,Excellent,Low,Medium,Best,31,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Male,1,Laboratory Technician,Single,168560,3.0,Y,12,8,1,9.0,3,3,1,0,Thomas Lewis
758,7.554447791164445,Very High,Excellent,Very High,Low,Better,34,No,Travel_Frequently,Sales,2,Below College,Marketing,1,Female,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,4,1,3,Jennifer Patrick
759,7.016453592146111,Low,Excellent,Low,Medium,Best,31,Yes,Travel_Rarely,Sales,20,Bachelor,Technical Degree,1,Male,1,Research Scientist,Single,61800,1.0,Y,14,8,1,1.0,2,1,0,0,William Cooper
760,6.0497010263275,High,Excellent,Medium,Low,Best,27,No,Travel_Rarely,Human Resources,11,Master,Medical,1,Male,4,Sales Executive,Married,66320,0.0,Y,16,8,0,6.0,3,5,1,4,Christopher Hernandez
761,7.198604417670556,Medium,Excellent,Low,Very High,Good,36,No,Travel_Rarely,Sales,1,Bachelor,Marketing,1,Male,2,Research Scientist,Single,35050,1.0,Y,12,8,2,10.0,2,10,1,8,Rodney Hernandez
762,7.413932396251667,High,Excellent,High,Low,Good,36,No,Travel_Rarely,Research & Development,24,Bachelor,Other,1,Female,3,Research Director,Married,63970,4.0,Y,14,8,1,11.0,3,3,0,2,Kristy Austin
763,6.873401383310833,High,Excellent,Low,Very High,Good,47,No,Travel_Rarely,Research & Development,23,Master,Life Sciences,1,Female,2,Sales Executive,Married,62740,7.0,Y,14,8,2,17.0,0,6,1,2,Courtney Clarke
764,7.114956492636945,Medium,Excellent,Low,Low,Better,25,Yes,Travel_Rarely,Sales,16,Master,Life Sciences,1,Male,2,Research Scientist,Married,198590,3.0,Y,19,8,0,6.0,3,3,2,2,Jose Henderson
765,6.171205934850278,High,Outstanding,High,High,Bad,37,No,Non-Travel,Sales,8,Master,Medical,1,Male,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,6,1,3,Jeffrey Graham
766,6.097274654172222,High,Excellent,Low,Low,Best,56,No,Travel_Rarely,Research & Development,10,Master,Other,1,Male,2,Sales Representative,Married,42580,2.0,Y,16,8,0,5.0,2,3,1,0,David Farmer
767,9.170238732708611,High,Excellent,Low,High,Best,47,No,Travel_Rarely,Research & Development,3,College,Medical,1,Male,2,Laboratory Technician,Married,43640,3.0,Y,11,8,1,26.0,3,20,5,6,Kevin Jackson
768,7.124434404283611,High,Excellent,Very High,High,Better,24,No,Travel_Rarely,Research & Development,5,Below College,Other,1,Male,1,Manufacturing Director,Married,43350,1.0,Y,15,8,1,5.0,5,5,0,3,Arthur Anderson
769,5.562757697456389,High,Excellent,Very High,Very High,Good,32,No,Travel_Rarely,Sales,4,Bachelor,Marketing,1,Male,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,4,0,3,Cory Hubbard
770,10.246189201249166,High,Excellent,Very High,Medium,Good,34,No,Travel_Rarely,Research & Development,9,College,Medical,1,Male,1,Sales Executive,Married,32800,5.0,Y,13,8,0,7.0,3,5,0,2,John Mendez
771,5.903100178491667,High,Excellent,Medium,High,Good,41,No,Travel_Rarely,Research & Development,26,Bachelor,Medical,1,Female,3,Sales Executive,Married,54850,2.0,Y,17,8,2,7.0,2,4,0,3,Carla Fletcher
772,6.461839580544167,Medium,Excellent,High,High,Best,40,No,Non-Travel,Sales,3,College,Life Sciences,1,Male,1,Sales Executive,Divorced,43420,3.0,Y,11,8,1,11.0,6,8,0,7,Jacob Joseph
773,6.37260821062,High,Excellent,Low,Very High,Better,31,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,1,Male,2,Human Resources,Divorced,27820,1.0,Y,19,8,1,13.0,5,13,9,9,Christopher Moreno
774,9.18578759482361,High,Excellent,Low,Very High,Best,46,Yes,Travel_Rarely,Research & Development,18,Below College,Medical,1,Male,1,Manufacturing Director,Divorced,59800,4.0,Y,11,8,1,28.0,2,7,4,3,Andrew Zhang
775,6.260961624274723,Medium,Excellent,Low,Low,Best,39,Yes,Non-Travel,Research & Development,2,Master,Medical,1,Male,2,Manufacturing Director,Single,43810,2.0,Y,15,8,2,11.0,1,1,0,0,James Spencer
776,9.910651494868333,High,Excellent,High,Medium,Better,31,Yes,Travel_Frequently,Sales,2,Bachelor,Medical,1,Male,2,Sales Executive,Single,25720,1.0,Y,13,8,3,10.0,3,10,4,7,Matthew Barton
777,6.035341365461667,High,Excellent,Medium,Low,Better,45,No,Travel_Rarely,Sales,10,College,Marketing,1,Male,1,Sales Executive,Divorced,38330,2.0,Y,14,8,0,24.0,1,7,0,7,Raymond Martinez
778,10.060047969656388,High,Excellent,Very High,Medium,Better,31,No,Travel_Rarely,Research & Development,16,Master,Life Sciences,1,Male,3,Human Resources,Single,42440,9.0,Y,13,8,0,8.0,3,3,0,2,Richard Villarreal
779,9.972300312360275,High,Outstanding,Medium,Very High,Bad,31,Yes,Travel_Frequently,Research & Development,7,Master,Life Sciences,1,Male,1,Laboratory Technician,Married,65000,6.0,Y,23,8,1,7.0,5,2,2,2,Ian Garcia
780,6.718777331548333,High,Excellent,Medium,Very High,Best,45,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Female,1,Research Scientist,Married,184300,4.0,Y,12,8,1,10.0,5,3,1,2,Monica Gonzalez
781,6.9595381526102775,High,Excellent,High,Low,Better,48,No,Travel_Rarely,Research & Development,24,Bachelor,Technical Degree,1,Male,2,Research Scientist,Divorced,16010,4.0,Y,12,8,0,15.0,3,2,2,2,Scott Anderson
782,7.808023203926667,High,Excellent,Low,High,Better,34,Yes,Travel_Rarely,Research & Development,7,Master,Medical,1,Male,2,Research Scientist,Married,26940,1.0,Y,16,8,1,2.0,3,2,2,2,Richard Aguilar
783,6.071981258366667,Medium,Excellent,Very High,Medium,Better,40,No,Non-Travel,Research & Development,25,Master,Other,1,Female,1,Sales Executive,Divorced,31490,2.0,Y,15,8,1,16.0,1,9,4,8,Sherry Kelly
784,6.0997289156625,High,Excellent,Very High,Low,Better,28,No,Travel_Rarely,Research & Development,1,College,Technical Degree,1,Female,1,Research Scientist,Single,176390,0.0,Y,13,8,1,6.0,0,5,1,3,Haley Browning
785,6.493488398036389,Medium,Excellent,High,High,Better,44,No,Non-Travel,Research & Development,5,Bachelor,Life Sciences,1,Male,1,Laboratory Technician,Single,23190,3.0,Y,18,8,0,7.0,4,5,0,3,Johnny Turner
786,6.565918116911944,High,Outstanding,Very High,Medium,Good,53,No,Travel_Rarely,Research & Development,2,Master,Technical Degree,1,Male,2,Manager,Single,116910,4.0,Y,20,8,0,35.0,2,9,8,8,Joseph Wise
787,6.278371262828889,Low,Excellent,Low,High,Good,49,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Male,3,Laboratory Technician,Married,53240,2.0,Y,19,8,0,20.0,2,3,1,2,Edward Berry
788,6.784696564033889,High,Excellent,High,High,Best,40,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,1,Male,3,Laboratory Technician,Divorced,167520,2.0,Y,18,8,1,8.0,3,3,1,2,Alexander Shaw
789,6.966455823293056,Very High,Excellent,Very High,Medium,Good,44,No,Travel_Rarely,Research & Development,5,Below College,Other,1,Male,3,Research Scientist,Single,52280,1.0,Y,13,8,0,6.0,2,5,1,3,Steven Ryan
790,6.521031905399167,High,Excellent,Very High,Low,Better,33,No,Travel_Frequently,Human Resources,10,Bachelor,Medical,1,Female,2,Sales Executive,Married,27000,0.0,Y,14,8,3,5.0,2,4,0,3,Dr. Brittany White
791,5.815461847389445,High,Excellent,Very High,Low,Better,34,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,1,Female,1,Sales Representative,Single,192460,3.0,Y,15,8,1,15.0,5,13,3,12,Tracy Fuller
792,6.65505577867,High,Outstanding,Very High,High,Good,30,No,Travel_Rarely,Sales,1,College,Technical Degree,1,Male,1,Laboratory Technician,Married,25060,8.0,Y,22,8,0,4.0,3,2,2,2,Robert Pratt
793,7.123139223560833,High,Outstanding,Low,Very High,Better,42,No,Travel_Frequently,Research & Development,8,Master,Medical,1,Female,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,12,5,8,Kristi Stevens
794,5.629717759928333,High,Excellent,Low,High,Good,44,No,Travel_Frequently,Research & Development,5,Bachelor,Life Sciences,1,Female,5,Manufacturing Director,Married,43820,7.0,Y,16,8,2,11.0,2,1,0,0,Beth Osborn
795,7.001870816599722,High,Excellent,High,High,Good,30,No,Non-Travel,Research & Development,8,Bachelor,Life Sciences,1,Male,1,Manufacturing Director,Divorced,21430,1.0,Y,17,8,1,1.0,2,1,0,0,Bradley Thompson
796,6.533760597947222,Medium,Excellent,Medium,High,Good,57,No,Travel_Rarely,Sales,2,Below College,Life Sciences,1,Male,3,Research Scientist,Married,61620,0.0,Y,14,8,0,13.0,5,12,2,8,Parker Anderson
797,5.798940205265278,High,Excellent,High,Medium,Better,49,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,1,Female,2,Sales Executive,Divorced,50940,3.0,Y,15,8,0,29.0,5,8,0,7,Nancy Barnes
798,6.406742525658055,High,Outstanding,Medium,Low,Good,34,No,Travel_Frequently,Research & Development,2,Master,Medical,1,Female,2,Sales Representative,Divorced,68770,7.0,Y,20,8,0,16.0,3,14,6,9,Kimberly Williams
799,7.6081648817491665,High,Outstanding,Low,High,Best,28,Yes,Travel_Frequently,Research & Development,2,Bachelor,Medical,1,Male,1,Research Scientist,Married,22740,3.0,Y,20,8,1,5.0,5,3,1,2,Thomas Russell
800,8.273507362784445,High,Excellent,Low,Medium,Bad,29,Yes,Travel_Frequently,Research & Development,28,Bachelor,Medical,1,Female,5,Research Scientist,Single,44340,,Y,17,8,3,7.0,1,5,0,0,Carolyn Wang
801,6.018956938866389,High,Excellent,Low,Medium,Best,34,Yes,Travel_Rarely,Research & Development,7,Below College,Medical,1,Male,1,Research Scientist,Single,62880,0.0,Y,15,8,1,16.0,2,15,10,10,James Barnes
802,7.974224676483611,Medium,Excellent,Very High,High,Better,35,No,Travel_Rarely,Sales,7,Master,Other,1,Female,4,Healthcare Representative,Married,25530,1.0,Y,14,8,1,1.0,4,1,0,0,Laura King
803,7.055305667112778,Medium,Excellent,Medium,Low,Good,24,Yes,Travel_Frequently,Sales,3,Bachelor,Life Sciences,1,Male,2,Research Scientist,Single,76540,2.0,Y,17,8,1,4.0,3,0,0,0,Donald Gonzales
804,10.044626282909167,Low,Excellent,Very High,Medium,Better,24,No,Non-Travel,Research & Development,10,Bachelor,Life Sciences,1,Female,2,Manager,Married,51600,1.0,Y,17,8,1,1.0,3,1,0,0,Diana Velasquez
805,6.860788710396944,Medium,Outstanding,Medium,High,Good,44,No,Travel_Frequently,Research & Development,5,College,Medical,1,Female,2,Research Scientist,Single,171590,5.0,Y,22,8,1,16.0,1,2,2,2,Judith Long
806,5.929968763944444,High,Excellent,High,High,Better,29,No,Travel_Rarely,Sales,10,College,Life Sciences,1,Female,1,Sales Executive,Divorced,128080,1.0,Y,13,8,0,10.0,6,10,0,4,Carol Winters
807,10.09004796965639,High,Excellent,High,High,Best,30,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Male,3,Sales Executive,Divorced,102210,0.0,Y,19,8,1,6.0,2,5,1,3,Patrick Scott DDS
808,7.739934181168889,High,Excellent,Very High,High,Better,55,No,Travel_Rarely,Sales,20,Bachelor,Marketing,1,Male,2,Research Scientist,Married,47790,0.0,Y,14,8,1,4.0,6,3,1,2,James Cooper
809,10.457554663096667,High,Outstanding,Low,Medium,Better,33,No,Travel_Rarely,Research & Development,7,College,Life Sciences,1,Male,2,Research Scientist,Married,37370,8.0,Y,22,8,2,8.0,2,5,0,2,Wyatt Wong
810,7.436475903614444,Medium,Excellent,High,High,Good,47,No,Travel_Rarely,Research & Development,8,Master,Medical,1,Female,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,5,1,2,Candice Wright
811,5.9013442659525,High,Excellent,High,Low,Good,28,Yes,Travel_Frequently,Sales,1,Bachelor,Marketing,1,Male,2,Laboratory Technician,Single,17060,7.0,Y,12,8,0,8.0,3,0,0,0,Brandon West
812,6.347263498438055,Medium,Excellent,Low,High,Bad,28,No,Travel_Rarely,Sales,8,Master,Marketing,1,Male,1,Laboratory Technician,Divorced,163070,1.0,Y,16,8,0,1.0,3,1,0,0,John Perkins
813,5.988766175814167,High,Excellent,High,Low,Better,28,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Female,2,Sales Executive,Single,59330,0.0,Y,11,8,0,5.0,3,4,1,3,Jennifer Scott
814,6.978504016064167,High,Excellent,High,Low,Better,49,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,1,Female,1,Research Scientist,Married,34240,4.0,Y,11,8,0,10.0,3,3,1,2,Tracy Allen
815,5.517696340919167,Low,Excellent,Very High,Medium,Better,29,No,Travel_Frequently,Research & Development,8,Below College,Medical,1,Male,1,Research Scientist,Married,40370,0.0,Y,14,8,0,4.0,2,3,0,2,John Nguyen
816,7.847788933511667,Medium,Excellent,High,Medium,Good,28,No,Travel_Rarely,Research & Development,5,Below College,Technical Degree,1,Male,2,Laboratory Technician,Married,25590,1.0,Y,11,8,0,8.0,3,8,1,7,Charles Esparza
817,7.126049754573611,Medium,Excellent,Very High,High,Better,33,No,Travel_Rarely,Research & Development,15,Master,Life Sciences,1,Female,1,Sales Executive,Single,62010,2.0,Y,15,8,3,14.0,2,0,0,0,Sierra Baird
818,6.410020080321111,Medium,Outstanding,High,Very High,Best,32,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Female,3,Laboratory Technician,Single,44030,2.0,Y,20,8,0,10.0,3,5,0,0,Lauren Mitchell
819,6.313620035698333,Medium,Excellent,Medium,Very High,Better,54,No,Travel_Frequently,Sales,10,Bachelor,Life Sciences,1,Female,4,Research Scientist,Divorced,37610,3.0,Y,12,8,0,26.0,3,14,1,12,Karen Blake
820,7.248688085675833,High,Excellent,Low,Low,Bad,29,Yes,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Female,2,Research Scientist,Single,109340,6.0,Y,17,8,2,11.0,2,9,0,7,Lauren Silva
821,6.524197902721944,Medium,Excellent,Very High,Low,Best,44,No,Travel_Rarely,Sales,26,Below College,Marketing,1,Male,1,Sales Representative,Married,107610,3.0,Y,11,8,1,24.0,5,20,14,17,Andrew Guzman
822,6.797888219544722,Very High,Excellent,Medium,Medium,Better,39,No,Travel_Rarely,Sales,6,Below College,Technical Degree,1,Female,2,Laboratory Technician,Single,51750,4.0,Y,17,8,1,9.0,2,2,2,2,Valerie Pugh
823,5.705474118696944,Medium,Excellent,High,Medium,Best,46,No,Travel_Rarely,Research & Development,4,College,Life Sciences,1,Male,3,Manufacturing Director,Married,138260,8.0,Y,11,8,0,23.0,1,13,5,1,Joseph Scott
824,7.245165104863889,Very High,Excellent,Very High,Medium,Bad,35,No,Travel_Rarely,Research & Development,23,Master,Life Sciences,1,Male,2,Research Scientist,Single,63340,1.0,Y,14,8,0,11.0,2,11,3,3,David King
825,7.039339580544167,Medium,Excellent,Low,High,Better,23,No,Travel_Rarely,Research & Development,2,Master,Medical,1,Female,2,Manager,Single,49360,0.0,Y,19,8,1,5.0,2,4,1,2,Sarah Wilcox
826,9.670089245872225,Very High,Excellent,Very High,Low,Bad,40,Yes,Travel_Rarely,Research & Development,2,Bachelor,Medical,1,Male,2,Research Director,Single,47750,3.0,Y,15,8,1,15.0,3,5,1,0,Harold Wilson
827,5.878951360999444,High,Excellent,Very High,High,Better,34,No,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,10,8,6,Frank Gross
828,9.462476572958334,Medium,Excellent,Very High,High,Bad,31,Yes,Travel_Frequently,Research & Development,29,Bachelor,Life Sciences,1,Female,2,Healthcare Representative,Single,25150,1.0,Y,14,8,0,7.0,3,7,7,7,Ann Moran
829,9.777776662204166,Medium,Excellent,High,Very High,Better,50,No,Travel_Frequently,Research & Development,6,Bachelor,Medical,1,Male,1,Manager,Single,23420,1.0,Y,12,8,1,32.0,2,32,13,9,Brian Lopez
830,6.357352744310556,High,Excellent,Medium,High,Better,34,No,Travel_Rarely,Sales,25,Doctor,Marketing,1,Female,1,Research Scientist,Married,41940,0.0,Y,17,8,2,12.0,3,11,5,7,Denise Peterson
831,7.427713074520278,High,Excellent,High,Medium,Better,42,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,1,Manufacturing Director,Married,106850,4.0,Y,11,8,3,4.0,2,1,0,0,Pamela Griffith
832,5.928251896474722,High,Excellent,Low,Very High,Better,37,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,1,Research Scientist,Married,20220,1.0,Y,12,8,0,10.0,1,10,3,7,Seth Russell
833,6.745350290048889,Very High,Excellent,High,Low,Better,29,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Female,1,Manager,Married,23140,3.0,Y,13,8,0,9.0,5,7,0,7,Victoria Pitts
834,5.801992414100833,High,Excellent,Very High,Medium,Better,33,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,1,Male,1,Research Scientist,Single,42560,1.0,Y,13,8,3,5.0,1,5,0,2,Christopher Chapman
835,7.905890227576944,Medium,Outstanding,Very High,Very High,Better,45,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,1,Male,3,Laboratory Technician,Married,35800,4.0,Y,20,8,1,8.0,1,5,0,3,Timothy Whitehead
836,6.170750780901111,High,Excellent,Very High,Very High,Bad,42,No,Travel_Frequently,Human Resources,1,Master,Technical Degree,1,Male,2,Manufacturing Director,Married,31620,2.0,Y,17,8,2,24.0,1,20,13,9,James Williams
837,10.318809683176944,Very High,Excellent,Low,Low,Best,40,No,Travel_Rarely,Sales,10,Below College,Life Sciences,1,Female,1,Manufacturing Director,Married,65240,0.0,Y,13,8,1,9.0,2,8,7,1,Amanda Wall
838,8.262833556447777,Medium,Excellent,Medium,High,Better,33,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Female,2,Manufacturing Director,Married,28990,1.0,Y,17,8,0,15.0,3,15,5,7,Emily Johnson
839,5.924803659080555,High,Excellent,High,Very High,Better,40,No,Travel_Rarely,Sales,5,Doctor,Life Sciences,1,Male,1,Manufacturing Director,Single,52310,1.0,Y,12,8,2,21.0,4,21,7,7,Andrew Morgan
840,8.147132976349722,High,Excellent,High,Low,Better,24,No,Travel_Rarely,Sales,10,College,Marketing,1,Male,1,Manufacturing Director,Divorced,23560,0.0,Y,13,8,0,2.0,5,1,0,0,Omar Bryan
841,6.2768128067825,Medium,Excellent,Very High,Very High,Better,40,No,Non-Travel,Research & Development,7,Bachelor,Medical,1,Male,1,Research Scientist,Divorced,28000,3.0,Y,12,8,2,8.0,0,2,2,2,Ernest Lee
842,7.241699018295278,Very High,Outstanding,Low,Medium,Better,45,No,Travel_Rarely,Research & Development,4,Bachelor,Medical,1,Female,3,Laboratory Technician,Divorced,118360,1.0,Y,22,8,0,10.0,2,10,7,7,Jennifer Walls
843,7.040577867023611,Very High,Excellent,Medium,High,Better,35,No,Travel_Rarely,Research & Development,10,Below College,Life Sciences,1,Male,1,Healthcare Representative,Married,109030,0.0,Y,11,8,0,6.0,3,5,4,2,Steven Daniels
844,8.907011378848612,Very High,Outstanding,Very High,Medium,Better,32,No,Travel_Rarely,Research & Development,22,Master,Medical,1,Male,1,Sales Executive,Married,29730,3.0,Y,22,8,0,12.0,0,7,2,5,Mr. Nicholas Cordova
845,7.480872378402222,Medium,Excellent,High,Very High,Good,36,No,Travel_Rarely,Sales,9,Bachelor,Marketing,1,Female,4,Research Scientist,Single,142750,3.0,Y,18,8,1,7.0,5,3,1,2,Cindy Williams
846,7.509809236947778,High,Excellent,High,High,Better,48,No,Travel_Rarely,Research & Development,12,Master,Medical,1,Male,1,Laboratory Technician,Divorced,55620,8.0,Y,13,8,1,18.0,2,8,7,7,Jordan Harris
